Fecha de publicación el DOF,Vigente a partir de:,Salario Minimo
8 de diciembre de 2021,01/01/2022,172.87
23 de diciembre de 2020,01/01/2021,141.7
23 de diciembre de 2019,01/01/2020,123.22
26 de diciembre de 2018,01/01/2019,102.68
21 de diciembre de 2017,01/01/2018,88.36
24 de noviembre de 2017,01/12/2017,88.36
19 de diciembre de 2016,01/01/2017,80.04
18 de diciembre de 2015,01/01/2016,73.04
30 de septiembre de 2015,octubre de 2015,70.1
30 de marzo de 2015,01/04/2015,70.1
29 de diciembre de 2014,01/01/2015,70.1
26 de diciembre de 2013,01/01/2014,67.29
21 de diciembre de 2012,01/01/2013,64.76
19 de diciembre de 2011,01/01/2012,62.33
23 de diciembre de 2010,01/01/2011,59.82
23 de diciembre de 2009,01/01/2010,57.46
23 de diciembre de 2008,01/01/2009,54.80 
27 de diciembre de 2007,01/01/2008,52.59
29 de diciembre de 2006,01/01/2007,50.57
26 de diciembre de 2005,01/01/2006,48.67
22 de diciembre de 2004,01/01/2005,46.8
23 de diciembre de 2003,01/01/2004,45.24
26 de diciembre de 2002,01/01/2003,43.65
29 de diciembre de 2001, enero 2002,42.15
27 de diciembre de 2000, enero 2001,40.35
31 de diciembre de 1999, enero 2000,37.9
2 de diciembre de 1998,01/01/1999,34.45
23 de diciembre de 1997,01/01/1998,30.2
2 de diciembre de 1996,01/01/1997,26.45
2 de diciembre de 1996,3 de diciembre 1996,26.45
28 de marzo de 1996,01/04/1996,22.6
2 de diciembre de 1995,01/01/1996,20.15
2 de diciembre 1995,4 de diciembre 1995,20.15
31 de marzo 1995,01/04/1995,18.3
21 de diciembre 1994,01/01/1995,16.34
13 de diciembre 1993,01/01/1994,15.27
7 de diciembre 1992,01/01/1993,N$ 14.27
4 de diciembre 1991,01/01/1992,"13,330.00"
11 de noviembre 1991, 11 de noviembre 1991,"13,330.00"
24 de diciembre 1990,01/01/1991,"11,900.00"
15 de noviembre 1990,16 de noviembre 1990,"11,900.00"
4 de diciembre 1989,01/01/1990,"10,080.00"
4 de diciembre 1989,4 de diciembre 1989,"10,080.00"
26 de junio de 1989,01/07/1989,"9,160.00"
14 de diciembre 1988,01/01/1989,"8,640.00"
29 de febrero 1988,01/03/1988,"8,000.00"
